"HUGO symbols"	"Cell population"	"ENTREZID"	"ENSEMBL ID"
"CD28"	"T cells"	940	"ENSG00000178562"
"CD3D"	"T cells"	915	"ENSG00000167286"
"CD3G"	"T cells"	917	"ENSG00000160654"
"CD5"	"T cells"	921	"ENSG00000110448"
"CD6"	"T cells"	923	"ENSG00000013725"
"CHRM3-AS2"	"T cells"	100506915	"ENSG00000233355"
"CTLA4"	"T cells"	1493	"ENSG00000163599"
"FLT3LG"	"T cells"	2323	"ENSG00000090554"
"ICOS"	"T cells"	29851	"ENSG00000163600"
"MAL"	"T cells"	4118	"ENSG00000172005"
"MGC40069"	"T cells"	348035	NA
"PBX4"	"T cells"	80714	"ENSG00000105717"
"SIRPG"	"T cells"	55423	"ENSG00000089012"
"THEMIS"	"T cells"	387357	"ENSG00000172673"
"TNFRSF25"	"T cells"	8718	"ENSG00000215788"
"TRAT1"	"T cells"	50852	"ENSG00000163519"
"CD8B"	"CD8 T cells"	926	"ENSG00000172116"
"CD8A"	"Cytotoxic lymphocytes"	925	"ENSG00000153563"
"EOMES"	"Cytotoxic lymphocytes"	8320	"ENSG00000163508"
"FGFBP2"	"Cytotoxic lymphocytes"	83888	"ENSG00000137441"
"GNLY"	"Cytotoxic lymphocytes"	10578	"ENSG00000115523"
"KLRC3"	"Cytotoxic lymphocytes"	3823	"ENSG00000205810"
"KLRC4"	"Cytotoxic lymphocytes"	8302	"ENSG00000183542"
"KLRD1"	"Cytotoxic lymphocytes"	3824	"ENSG00000134539"
"BANK1"	"B lineage"	55024	"ENSG00000153064"
"CD19"	"B lineage"	930	"ENSG00000177455"
"CD22"	"B lineage"	933	"ENSG00000012124"
"CD79A"	"B lineage"	973	"ENSG00000105369"
"CR2"	"B lineage"	1380	"ENSG00000117322"
"FCRL2"	"B lineage"	79368	"ENSG00000132704"
"IGKC"	"B lineage"	3514	"ENSG00000211592"
"MS4A1"	"B lineage"	931	"ENSG00000156738"
"PAX5"	"B lineage"	5079	"ENSG00000196092"
"CD160"	"NK cells"	11126	"ENSG00000117281"
"KIR2DL1"	"NK cells"	3802	"ENSG00000125498"
"KIR2DL3"	"NK cells"	3804	"ENSG00000243772"
"KIR2DL4"	"NK cells"	3805	"ENSG00000189013"
"KIR3DL1"	"NK cells"	3811	"ENSG00000167633"
"KIR3DS1"	"NK cells"	3813	"ENSG00000275037"
"NCR1"	"NK cells"	9437	"ENSG00000189430"
"PTGDR"	"NK cells"	5729	"ENSG00000168229"
"SH2D1B"	"NK cells"	117157	"ENSG00000198574"
"ADAP2"	"Monocytic lineage"	55803	"ENSG00000184060"
"CSF1R"	"Monocytic lineage"	1436	"ENSG00000182578"
"FPR3"	"Monocytic lineage"	2359	"ENSG00000187474"
"KYNU"	"Monocytic lineage"	8942	"ENSG00000115919"
"PLA2G7"	"Monocytic lineage"	7941	"ENSG00000146070"
"RASSF4"	"Monocytic lineage"	83937	"ENSG00000107551"
"TFEC"	"Monocytic lineage"	22797	"ENSG00000105967"
"CD1A"	"Myeloid dendritic cells"	909	"ENSG00000158477"
"CD1B"	"Myeloid dendritic cells"	910	"ENSG00000158485"
"CD1E"	"Myeloid dendritic cells"	913	"ENSG00000158488"
"CLEC10A"	"Myeloid dendritic cells"	10462	"ENSG00000132514"
"CLIC2"	"Myeloid dendritic cells"	1193	"ENSG00000155962"
"WFDC21P"	"Myeloid dendritic cells"	645638	"ENSG00000261040"
"CA4"	"Neutrophils"	762	"ENSG00000167434"
"CEACAM3"	"Neutrophils"	1084	"ENSG00000170956"
"CXCR1"	"Neutrophils"	3577	"ENSG00000163464"
